review,rating,tanggal,app_id,label,clean_review
"Jaringan aku bagus, tapi tetep aja muncul peringatan ""internet/wifi anda kurang bagus"". error terus, padahal scroll sosmed bahkan main game lancar aja",2.0,2026-05-21 9:35:41,id.co.bri.brimo,0,jaringan aku bagus tapi tetep aja muncul peringatan internetwifi anda kurang bagus error terus padahal scroll sosmed bahkan main game lancar aja
sejauh ini kupakai aman mantap,5.0,2026-06-12 7:02:05,id.co.bri.brimo,1,sejauh ini kupakai aman mantap
"update yg terbaru mlh jd mmprsulit,baik utk login,verifikasi wjah,smua tmpil knksi intrnet krg baik,pdhl dpke utk browsing atau lainnya lncr aj,tlg dong d sama ratakan demi kmdhn brsma🙏🙏🙏",2.0,2026-06-05 4:10:57,id.co.bri.brimo,0,update yg terbaru mlh jd mmprsulitbaik utk loginverifikasi wjahsmua tmpil knksi intrnet krg baikpdhl dpke utk browsing atau lainnya lncr ajtlg dong d sama ratakan demi kmdhn brsma
lebih cepat dan mudah,5.0,2026-05-30 4:56:19,id.co.bri.brimo,1,lebih cepat dan mudah
parah . untuk masuk ke akun sagat kesusahan dagan varifikasi wajah . sudh sesuai aturan . jarigan stabil fto jlas typ gak bsa,1.0,2026-06-14 18:36:00,id.co.bri.brimo,0,parah  untuk masuk ke akun sagat kesusahan dagan varifikasi wajah  sudh sesuai aturan  jarigan stabil fto jlas typ gak bsa
hyang sekarang lebih mudah buat akun baru brimo dibandingkan yang dulu...nice job 👍👍,5.0,2026-06-05 8:22:44,id.co.bri.brimo,1,hyang sekarang lebih mudah buat akun baru brimo dibandingkan yang dulunice job
maksain banget selalu minta ijin lokasi,1.0,2026-05-28 13:31:56,id.co.bri.brimo,0,maksain banget selalu minta ijin lokasi
sangat suka dengan aplikasi ini,5.0,2026-05-25 23:55:34,id.co.bri.brimo,1,sangat suka dengan aplikasi ini
stuck di upload ktp,1.0,2026-05-23 0:56:45,id.co.bri.brimo,0,stuck di upload ktp
Lemot,1.0,2026-05-31 8:27:31,id.co.bri.brimo,0,lemot
mantap...,5.0,2026-06-10 3:00:30,id.co.bri.brimo,1,mantap
Sat set sat set MISKIN.,5.0,2026-06-02 13:25:32,id.co.bri.brimo,1,sat set sat set miskin
mantaf,5.0,2026-06-10 1:30:19,id.co.bri.brimo,1,mantaf
kadang lambat loading,5.0,2026-05-25 3:47:29,id.co.bri.brimo,1,kadang lambat loading
transaksi mudah,5.0,2026-05-22 2:13:26,id.co.bri.brimo,1,transaksi mudah
tinggal verivikasi wajah saja susahnya malah jaringan tidak baik terus ya sudah mungkin sudah waktunya ke bank lain,1.0,2026-05-26 20:23:56,id.co.bri.brimo,0,tinggal verivikasi wajah saja susahnya malah jaringan tidak baik terus ya sudah mungkin sudah waktunya ke bank lain
transfer tidak ada kendala,5.0,2026-06-09 16:58:53,id.co.bri.brimo,1,transfer tidak ada kendala
oke mantap,5.0,2026-06-02 14:40:12,id.co.bri.brimo,1,oke mantap
sering loading gajelas saat login padahal sinyal lancar,1.0,2026-05-28 0:31:58,id.co.bri.brimo,0,sering loading gajelas saat login padahal sinyal lancar
