review,rating,tanggal,app_id,label
hidup ini semakin mudah,5.0,2026-06-15 5:33:07,id.co.bri.brimo,1
good,5.0,2026-06-15 5:27:28,id.co.bri.brimo,1
niceeee,5.0,2026-06-15 5:09:27,id.co.bri.brimo,1
lewat brimo sangat mudah dan praktis..,5.0,2026-06-15 5:08:02,id.co.bri.brimo,1
lumayan,5.0,2026-06-15 4:50:58,id.co.bri.brimo,1
mempermudah bertransaksi,5.0,2026-06-15 4:43:34,id.co.bri.brimo,1
Baik,5.0,2026-06-15 4:43:27,id.co.bri.brimo,1
pelayanan nya bagus dan transaksi cepat alhamdulillah,5.0,2026-06-15 4:36:36,id.co.bri.brimo,1
ok,5.0,2026-06-15 4:32:20,id.co.bri.brimo,1
"Saya baru instal aplikasi ini , bank ini terlalu lemot banget dan juga via transfer selalu bermasalah padahal jaringan saya oke oke aja tu",1.0,2026-06-15 4:31:59,id.co.bri.brimo,0
Tampilan aplikasi bersifat minimalis. Fitur aplikasi untuk transaksi cukup lengkap sehingga mengurangi mobilitas luar jaringan. Proses transaksi bersifat mudah dimengerti dan transparan. Pemberitahuan notifikasi mempermudah pengawasan transaksi keuangan bagi pengguna.,5.0,2026-06-15 4:29:35,id.co.bri.brimo,1
alhamdulilah sangat membantu dengan adanya aplikasi brimo transaksi jadi lancat dan mudah,5.0,2026-06-15 4:27:45,id.co.bri.brimo,1
Eror terus pada saat verifikasi ktp,1.0,2026-06-15 4:27:29,id.co.bri.brimo,0
proses cepat saat pembayaran,5.0,2026-06-15 4:24:55,id.co.bri.brimo,1
transaksi mudah dan cepat..,5.0,2026-06-15 4:22:06,id.co.bri.brimo,1
mantap,5.0,2026-06-15 4:18:39,id.co.bri.brimo,1
baguss,5.0,2026-06-15 4:14:42,id.co.bri.brimo,1
"nggak bs daftar online, harus ke kantor cabang. kirain simple dan praktis",1.0,2026-06-15 4:11:55,id.co.bri.brimo,0
puas,5.0,2026-06-15 4:11:19,id.co.bri.brimo,1
habis transfer gak bisa di bagikan bukti transfernya,1.0,2026-06-15 4:09:29,id.co.bri.brimo,0
cepat transaksi,5.0,2026-06-15 4:08:48,id.co.bri.brimo,1
semoga makin baik,5.0,2026-06-15 4:02:21,id.co.bri.brimo,1
mudah cepat aman,5.0,2026-06-15 3:49:30,id.co.bri.brimo,1
bagus,5.0,2026-06-15 3:41:33,id.co.bri.brimo,1
"terimakasih ya sudah membuat apk ini bikin semuanya jadi lebih mudah dan ga ribet sama sekali, terimakasih 🩷",5.0,2026-06-15 3:40:42,id.co.bri.brimo,1
mantap aplikSinya,5.0,2026-06-15 3:40:35,id.co.bri.brimo,1
sangat membantu dalam banyak hal sangat memudahkan 😇,5.0,2026-06-15 3:29:49,id.co.bri.brimo,1
verifikasi foto tidak bisa mengulang mengulang terus !,1.0,2026-06-15 3:21:13,id.co.bri.brimo,0
sangat memuaskan,5.0,2026-06-15 3:12:24,id.co.bri.brimo,1
brimo mantap,5.0,2026-06-15 3:03:48,id.co.bri.brimo,1
Terimakasih Untuk Aplikasinya 🙏,5.0,2026-06-15 2:59:29,id.co.bri.brimo,1
trimakasih,5.0,2026-06-15 2:59:05,id.co.bri.brimo,1
saya habis transfer dari dana ke brimo ...tapi di brimo nggak ada notifikasi uang masuk,2.0,2026-06-15 2:55:23,id.co.bri.brimo,0
syukur alhamdulillah.sangat2 membantu,5.0,2026-06-15 2:52:14,id.co.bri.brimo,1
"selalu gagal di verifikasi wajah,, complain lewat email sudah sering & disuruh ke kantor terdekat juga sudah,, dan masih tetap tidak bisa login BRIMO.. hadeuuuhh pdhl sudah bawa buku tabungan Asli, KTP asli, kartu ATM asli.. benahi kendala tersebut!!!",1.0,2026-06-15 2:48:30,id.co.bri.brimo,0
tolong saya mau top up rp wallet kok tulisan nya saldo anda tidak cukup padahal saldo saya ada 53 juta tolong di perbaiki,1.0,2026-06-15 2:44:40,id.co.bri.brimo,0
good👍,5.0,2026-06-15 2:36:50,id.co.bri.brimo,1
sangat cocok buat sesama BANKBRI.,4.0,2026-06-15 2:25:59,id.co.bri.brimo,1
bagus dan sangat membantu,5.0,2026-06-15 2:22:21,id.co.bri.brimo,1
"tolong di perbaiki saya transaksi briva sudah tertulis memperoses trus sdah hamir satu minggu saldo sudah berkurang. transaksi ke tujuan masih blm masuk.....ini kali ke 3 saya begini sblm""nya saldo kembali karna nominalnya kecil..... ini nominal besar alsan pihak brinya transaksi sudah berhasil padahl masih trus mempores..... saya kecewa kalau gini saya mau pindah bank dan mau non aktifkn bri saldo saya skrang mau di pindahkn semua",1.0,2026-06-15 2:20:22,id.co.bri.brimo,0
"aplikasi sampah login kgak bisa"" alasan jaringan jelek truss pdahal pakai data + wifi masih saja tidak bisa login pantekkk, update lah sistem lo yg lebih memudahkan masyarakat, bukan nya aplikasi ini dapat memudahkan masyarakat tpi masih saja banyak terkendala buat teman"" pengguna brimo.",2.0,2026-06-15 2:14:08,id.co.bri.brimo,0
nice,5.0,2026-06-15 2:11:43,id.co.bri.brimo,1
sangat puas...dan mudah di pahami,5.0,2026-06-15 2:11:41,id.co.bri.brimo,1
sangat mmbantu,5.0,2026-06-15 2:07:24,id.co.bri.brimo,1
"saya susah login,pada user name dan password brimo saya sudah benar.",5.0,2026-06-15 1:58:02,id.co.bri.brimo,1
sangat bagus,5.0,2026-06-15 1:57:42,id.co.bri.brimo,1
gas,5.0,2026-06-15 1:35:22,id.co.bri.brimo,1
"Gak tau harus gimana lagi... sudah 2 minggu lebih login brimo gagal terus verifikasi wajah. ke kantor BRI pun udah 2X dan dibantu CS pun tetap tidak bisa login. sudah komplain via email dan SABRINA, tapi tetap tidak ada pemecahan masalah. BRIMO tidak mempermudah tapi malah mempersulit nasabah. 😤😤😡",1.0,2026-06-15 1:02:37,id.co.bri.brimo,0
sangat mudah dan cepat,5.0,2026-06-15 0:59:19,id.co.bri.brimo,1
Sangat membantu & transaksi lebih cepat,5.0,2026-06-15 0:56:15,id.co.bri.brimo,1
mempermudah pembayaran,5.0,2026-06-15 0:24:51,id.co.bri.brimo,1
Gampang bertransakai...,5.0,2026-06-15 0:19:15,id.co.bri.brimo,1
sangat membantu,5.0,2026-06-15 0:12:09,id.co.bri.brimo,1
mudah di gunakan,5.0,2026-06-15 0:09:40,id.co.bri.brimo,1
sejauh ini baik-baik saja.,4.0,2026-06-14 23:59:26,id.co.bri.brimo,1
cepet bagus banget,5.0,2026-06-14 23:52:22,id.co.bri.brimo,1
terima dan kirim uang lebih sangat mudah dan prosesnya lebih cepat👍👍,5.0,2026-06-14 23:49:48,id.co.bri.brimo,1
🔝👍🏻🇲🇨,5.0,2026-06-14 23:32:24,id.co.bri.brimo,1
kenapa kata sandi saya tidak bisa masuk,1.0,2026-06-14 23:26:52,id.co.bri.brimo,0
stelah update aplikasi semakin berat,1.0,2026-06-14 23:02:55,id.co.bri.brimo,0
"susah bener mau vermuk buat login aja ,udah mau seminggu ini GK bisa login. hubungi cs jg GK ada penyelesaian SM sekali.",1.0,2026-06-14 22:28:11,id.co.bri.brimo,0
tes dulu,1.0,2026-06-14 21:33:50,id.co.bri.brimo,0
terima kasih banyak telah menjadi bagian dari hidup saya,5.0,2026-06-14 21:00:48,id.co.bri.brimo,1
👍👍👍,5.0,2026-06-14 20:45:15,id.co.bri.brimo,1
"ketika ada transaksi, notifikasi tidak ada sama sekali. padahal pengaturan notifikasi sudah diaktifkan semua.... padahal sebelum pembaruan semua notifikasi muncul.",2.0,2026-06-14 20:26:20,id.co.bri.brimo,0
Semakin keren beda dari tahun... tahun sebelumnya,5.0,2026-06-14 19:44:38,id.co.bri.brimo,1
ferry good,5.0,2026-06-14 19:20:35,id.co.bri.brimo,1
update malahan jelek.. susah transaksi..KONEKSI INTERNET KURANG BAIK..MAKSUDNYA APA SIH.. BUKANYA BAGUS MALAHAN APLIKASI ENGGA GUNA..,1.0,2026-06-14 19:12:58,id.co.bri.brimo,0
giliran mau di pake gangguan terus,1.0,2026-06-14 19:08:02,id.co.bri.brimo,0
